availableAt,defaultprice,details,quantity,isDeleted,code,name
Indonesia,1990,Freestyle,448870,false,2006,Ford
Sweden,1978,Century,415453,true,1985,Buick
Thailand,1962,G37,396809,false,2008,Infiniti
Peru,1987,S40,320274,false,2007,Volvo
Brazil,1965,Torrent,415403,true,2007,Pontiac
Russia,1955,Ascender,2582,true,2005,Isuzu
Czech Republic,2007,Lanos,176919,false,1999,Daewoo
China,1950,Landaulet,362504,true,2012,Maybach
Sweden,1953,F-Series,304972,false,1994,Ford
United States,1984,S-Series,140424,false,1999,Saturn
